time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-11-27 11:52:20.484 UTC, ,250,3166610,1472,20632, , ,5, ,4,1,0.25, , , , , , , ,5,5, , , ,5,2,8, ,2,1, , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1511783536246,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,17299816,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-27 11:52:33.501 UTC, ,250,3162938,1472,16960, , ,4,1,36,4,0.11, , , , , , , ,4,4, ,2,1,5,1,7, ,92,39, , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , ,7,550, , , , , , , , , , , , , , , , , , , , , , , , ,1511783552838,3145728, , , ,50,0, , , ,3, , , ,3, , , , ,50, ,6144,3, , , , ,282624,72, , , , , , , , ,1,10,16750304,1, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-27 11:52:36.311 UTC, ,250,3166610,1472,20632, , ,5, ,4,1,0.25, , , , , , , ,5,5, , , ,5,2,8, ,2,1, , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1511783552838,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,17261824,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-27 11:53:47.433 UTC, ,250,3162938,1472,16960, , ,4,1,37,4,0.11, , , , , , , ,4,4, ,2,1,5,1,7, ,92,39, , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , ,7,550, , , , , , , , , , , , , , , , , , , , , , , , ,1511783626942,3145728, , , ,50,0, , , ,3, , , ,3, , , , ,50, ,6144,3, , , , ,282624,72, , , , , , , , ,1,6,17816608,1, , , , , , ,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-27 11:53:55.719 UTC, ,250,3163018,1472,16960,80, ,4,1,37,4,0.11, , , , , , , ,4,4, ,2,1,5,1,7, ,93,40, , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , ,7,550, , , , , , , , , , , , , , , , , , , , , , , , ,1511783635227,3145728, , , ,50,0, , , ,4, , , ,3, , , , ,50, ,6144,3, , , , ,282624,72, , , , , , , , ,1,7,16765480,1, , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-27 11:54:28.773 UTC, ,250,3166610,1472,20632, , ,5, ,3,1,0.33, , , , , , , ,5,5, , , ,5,2,8, ,1, , , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1511783635227,3145728, , , ,3,0, , , , , , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,17274256,1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-27 11:54:31.211 UTC, ,250,3162938,1472,16960, , ,4,1,36,4,0.11, , , , , , , ,4,4, ,2,1,5,1,7, ,92,39, , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , ,7,550, , , , , , , , , , , , , , , , , , , , , , , , ,1511783670743,3145728, , , ,50,0, , , ,3, , , ,3, , , , ,50, ,6144,3, , , , ,282624,72, , , , , , , , ,1,7,16728072,1, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-27 11:54:51.941 UTC, ,250,3166610,1472,20632, , ,5, ,14,1,0.07, , , , , , , ,5,5, , , ,5,2,8, ,2,1, , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1511783670743,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,17239672,1, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-27 11:54:57.601 UTC, ,250,3162938,1472,16960, , ,4,1,36,4,0.11, , , , , , , ,4,4, ,2,1,5,1,7, ,92,39, , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , ,7,550, , , , , , , , , , , , , , , , , , , , , , , , ,1511783697107,3145728, , , ,50,0, , , ,3, , , ,3, , , , ,50, ,6144,3, , , , ,282624,72, , , , , , , , ,1,10,16796176,1, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-27 11:55:57.610 UTC, ,250,3166722,1472,20632,112, ,5, ,18,1,0.06, , , , , , , ,5,5, , , ,5,2,8, ,2,1, , , , , , , , , , , , , ,4295019428,32, ,4295018167, , , , , ,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1511783697107,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,17298184,1, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , 
